Layer #,Pass #,Time(ms),Reading
63,2,573794,239.0
63,2,573811,239.0
63,2,573827,239.0
63,2,573845,239.0
63,2,573860,239.0
63,2,573877,496.0
63,2,573894,507.0
63,2,573910,529.0
63,2,573927,544.0
63,2,573944,552.0
63,2,573961,566.0
63,2,573978,578.0
63,2,573993,592.0
63,2,574011,604.0
63,2,574027,615.0
63,2,574043,625.0
63,2,574060,636.0
63,2,574077,645.0
63,2,574094,653.0
63,2,574111,659.0
63,2,574128,671.0
63,2,574144,678.0
63,2,574161,684.0
63,2,574177,686.0
63,2,574194,690.0
63,2,574211,694.0
63,2,574227,701.0
63,2,574245,705.0
63,2,574260,709.0
63,2,574277,712.0
63,2,574295,714.0
63,2,574310,719.0
63,2,574327,720.0
63,2,574344,724.0
63,2,574362,730.0
63,2,574377,728.0
63,2,574395,735.0
63,2,574410,734.0
63,2,574428,734.0
63,2,574444,738.0
63,2,574460,739.0
63,2,574478,741.0
63,2,574494,741.0
63,2,574511,741.0
63,2,574527,743.0
63,2,574544,745.0
63,2,574561,745.0
63,2,574578,747.0
63,2,574594,746.0
63,2,574611,750.0
63,2,574628,753.0
63,2,574644,754.0
63,2,574661,751.0
63,2,574677,751.0
63,2,574694,752.0
63,2,574711,752.0
63,2,574727,753.0
63,2,574744,755.0
63,2,574760,754.0
63,2,574777,753.0
63,2,574795,755.0
63,2,574810,754.0
63,2,574827,756.0
63,2,574844,759.0
63,2,574861,758.0
63,2,574877,761.0
63,2,574894,755.0
63,2,574911,756.0
63,2,574928,756.0
63,2,574945,757.0
63,2,574962,758.0
63,2,574978,758.0
63,2,574994,758.0
63,2,575011,758.0
63,2,575027,758.0
63,2,575044,760.0
63,2,575061,758.0
63,2,575078,758.0
63,2,575095,762.0
63,2,575111,762.0
63,2,575127,758.0
63,2,575144,760.0
63,2,575160,759.0
63,2,575178,759.0
63,2,575194,758.0
63,2,575211,759.0
63,2,575227,760.0
63,2,575244,759.0
63,2,575261,758.0
63,2,575277,760.0
63,2,575294,758.0
63,2,575311,758.0
63,2,575327,759.0
63,2,575344,762.0
63,2,575361,763.0
63,2,575377,759.0
63,2,575395,760.0
63,2,575411,760.0
63,2,575427,759.0
63,2,575444,761.0
63,2,575461,761.0
63,2,575478,760.0
63,2,575494,759.0
63,2,575512,761.0
63,2,575527,760.0
63,2,575543,759.0
63,2,575563,762.0
63,2,575580,762.0
63,2,575596,763.0
63,2,575613,760.0
63,2,575630,759.0
63,2,575646,761.0
63,2,575664,763.0
63,2,575680,762.0
63,2,575697,763.0
63,2,575713,760.0
63,2,575729,761.0
63,2,575747,763.0
63,2,575764,763.0
63,2,575780,762.0
63,2,575797,763.0
63,2,575814,763.0
63,2,575830,761.0
63,2,575846,762.0
63,2,575863,760.0
63,2,575879,760.0
63,2,575896,759.0
63,2,575913,763.0
63,2,575930,763.0
63,2,575947,781.0
63,2,575963,769.0
63,2,575980,757.0
63,2,575997,745.0
63,2,576014,733.0
63,2,576030,721.0
63,2,576047,710.0
63,2,576064,700.0
63,2,576080,691.0
63,2,576097,681.0
